id,nome,partido,uf,turno1,turno2,votou_sim,url_perfil,url_foto
220530,Messias Donato,REPUBLICANOS,ES,Sim,Sim,true,https://www.camara.leg.br/deputados/220530,https://www.camara.leg.br/internet/deputado/bandep/220530.jpg
220584,Murilo Galdino,REPUBLICANOS,PB,Sim,Sim,true,https://www.camara.leg.br/deputados/220584,https://www.camara.leg.br/internet/deputado/bandep/220584.jpg
204422,Ossesio Silva,REPUBLICANOS,PE,Sim,Sim,true,https://www.camara.leg.br/deputados/204422,https://www.camara.leg.br/internet/deputado/bandep/204422.jpg
220543,Ricardo Ayres,REPUBLICANOS,TO,Sim,Sim,true,https://www.camara.leg.br/deputados/220543,https://www.camara.leg.br/internet/deputado/bandep/220543.jpg
220588,Roberto Duarte,REPUBLICANOS,AC,Sim,Sim,true,https://www.camara.leg.br/deputados/220588,https://www.camara.leg.br/internet/deputado/bandep/220588.jpg
220695,Rogéria Santos,REPUBLICANOS,BA,Sim,Sim,true,https://www.camara.leg.br/deputados/220695,https://www.camara.leg.br/internet/deputado/bandep/220695.jpg
163321,Ronaldo Nogueira,REPUBLICANOS,RS,Sim,Sim,true,https://www.camara.leg.br/deputados/163321,https://www.camara.leg.br/internet/deputado/bandep/163321.jpg
220631,Samuel Viana,REPUBLICANOS,MG,Sim,Sim,true,https://www.camara.leg.br/deputados/220631,https://www.camara.leg.br/internet/deputado/bandep/220631.jpg
74356,Silas Câmara,REPUBLICANOS,AM,Sim,Sim,true,https://www.camara.leg.br/deputados/74356,https://www.camara.leg.br/internet/deputado/bandep/74356.jpg
141555,Vinicius Carvalho,REPUBLICANOS,SP,Sim,Sim,true,https://www.camara.leg.br/deputados/141555,https://www.camara.leg.br/internet/deputado/bandep/141555.jpg
74044,Wilson Santiago,REPUBLICANOS,PB,Sim,Sim,true,https://www.camara.leg.br/deputados/74044,https://www.camara.leg.br/internet/deputado/bandep/74044.jpg
160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,Sim,Sim,true,https://www.camara.leg.br/deputados/160512,https://www.camara.leg.br/internet/deputado/bandep/160512.jpg
220668,Maria Arraes,SOLIDARIEDADE,PE,Nao,Nao,false,https://www.camara.leg.br/deputados/220668,https://www.camara.leg.br/internet/deputado/bandep/220668.jpg
141518,Paulinho da Força,SOLIDARIEDADE,SP,Sim,Sim,true,https://www.camara.leg.br/deputados/141518,https://www.camara.leg.br/internet/deputado/bandep/141518.jpg
160518,Weliton Prado,SOLIDARIEDADE,MG,Ausente,Nao,false,https://www.camara.leg.br/deputados/160518,https://www.camara.leg.br/internet/deputado/bandep/160518.jpg
160600,Arthur Oliveira Maia,UNIÃO,BA,Sim,Sim,true,https://www.camara.leg.br/deputados/160600,https://www.camara.leg.br/internet/deputado/bandep/160600.jpg
109429,Benes Leocádio,UNIÃO,RN,Sim,Sim,true,https://www.camara.leg.br/deputados/109429,https://www.camara.leg.br/internet/deputado/bandep/109429.jpg
213762,Carla Dickson,UNIÃO,RN,Sim,Sim,true,https://www.camara.leg.br/deputados/213762,https://www.camara.leg.br/internet/deputado/bandep/213762.jpg
178993,Carlos Henrique Gaguim,UNIÃO,TO,Sim,Sim,true,https://www.camara.leg.br/deputados/178993,https://www.camara.leg.br/internet/deputado/bandep/178993.jpg
220594,Coronel Assis,UNIÃO,MT,Sim,Sim,true,https://www.camara.leg.br/deputados/220594,https://www.camara.leg.br/internet/deputado/bandep/220594.jpg
220590,Coronel Ulysses,UNIÃO,AC,Sim,Sim,true,https://www.camara.leg.br/deputados/220590,https://www.camara.leg.br/internet/deputado/bandep/220590.jpg
220608,Cristiane Lopes,UNIÃO,RO,Nao,Nao,false,https://www.camara.leg.br/deputados/220608,https://www.camara.leg.br/internet/deputado/bandep/220608.jpg
